,name,numPixel_noRoad,numPixel_pavedRoad,numPixel_unpavedRoad,sumPixels,relative_noRoad,relative_pavedRoad,relative_unpavedRoad,region
0,20170815_005028_0c0b_3B_0300.tif,65536,0,0,65536,1.0,0.0,0.0,Borneo
1,20170815_005030_0c0b_3B_0165.tif,65536,0,0,65536,1.0,0.0,0.0,Borneo
2,20180427_020503_103c_3B_0450.tif,65536,0,0,65536,1.0,0.0,0.0,Borneo
3,20180427_020501_103c_3B_0474.tif,65536,0,0,65536,1.0,0.0,0.0,Borneo
4,20170815_005030_0c0b_3B_0133.tif,65536,0,0,65536,1.0,0.0,0.0,Borneo
5,20180419_074324_0c43_3B_0129.tif,57511,4167,3858,65536,0.8775482177734375,0.0635833740234375,0.058868408203125,Harz
6,20180504_094435_0e19_3B_0411.tif,62245,0,3291,65536,0.9497833251953125,0.0,0.0502166748046875,Harz
7,20180427_020501_103c_3B_0569.tif,65536,0,0,65536,1.0,0.0,0.0,Borneo
8,20180504_094435_0e19_3B_0472.tif,60463,2715,2358,65536,0.9225921630859375,0.0414276123046875,0.035980224609375,Harz
9,20171013_232848_0c46_3B_0265.tif,65528,0,8,65536,0.9998779296875,0.0,0.0001220703125,Borneo
10,20180310_020202_1040_3B_0160.tif,65536,0,0,65536,1.0,0.0,0.0,Borneo
11,20180504_094435_0e19_3B_0429.tif,53128,8290,4118,65536,0.8106689453125,0.126495361328125,0.062835693359375,Harz
12,20180419_074324_0c43_3B_0206.tif,63588,0,1948,65536,0.97027587890625,0.0,0.02972412109375,Harz
13,20180310_020203_1040_3B_0133.tif,65536,0,0,65536,1.0,0.0,0.0,Borneo
14,20180724_094554_0e19_3B_0213.tif,52281,12706,549,65536,0.7977447509765625,0.193878173828125,0.0083770751953125,Harz
15,20180419_074323_0c43_3B_0150.tif,64146,0,1390,65536,0.978790283203125,0.0,0.021209716796875,Harz
16,20180427_020502_103c_3B_0262.tif,65052,0,484,65536,0.99261474609375,0.0,0.00738525390625,Borneo
17,20171013_232848_0c46_3B_0208.tif,65536,0,0,65536,1.0,0.0,0.0,Borneo
18,20180427_020346_103a_3B_0344.tif,61887,0,3649,65536,0.9443206787109375,0.0,0.0556793212890625,Borneo
19,20180427_020504_103c_3B_0006.tif,65536,0,0,65536,1.0,0.0,0.0,Borneo
20,20180427_020504_103c_3B_0241.tif,64298,0,1238,65536,0.981109619140625,0.0,0.018890380859375,Borneo
21,20171013_232848_0c46_3B_0189.tif,64751,0,785,65536,0.9880218505859375,0.0,0.0119781494140625,Borneo
