,name,numPixel_noRoad,numPixel_pavedRoad,numPixel_unpavedRoad,sumPixels,relative_noRoad,relative_pavedRoad,relative_unpavedRoad
0,20180419_074323_0c43_3B_0086.tif,260543,0,1601,262144,0.9938926696777344,0.0,0.006107330322265625
1,20180606_020625_0f1b_3B_0154.tif,262144,0,0,262144,1.0,0.0,0.0
2,20170815_005028_0c0b_3B_0064.tif,261980,0,164,262144,0.9993743896484375,0.0,0.0006256103515625
3,20170815_005028_0c0b_3B_0025.tif,262144,0,0,262144,1.0,0.0,0.0
4,20180606_020625_0f1b_3B_0067.tif,262144,0,0,262144,1.0,0.0,0.0
5,20180606_020625_0f1b_3B_0079.tif,262144,0,0,262144,1.0,0.0,0.0
6,20180427_020346_103a_3B_0150.tif,257498,2498,2148,262144,0.9822769165039062,0.00952911376953125,0.0081939697265625
7,20180419_074324_1_0c43_3B_0038.tif,252495,3060,6589,262144,0.9631919860839844,0.0116729736328125,0.025135040283203125
8,20180504_094435_0e19_3B_0177.tif,257466,2507,2171,262144,0.9821548461914062,0.009563446044921875,0.008281707763671875
9,20180419_074324_1_0c43_3B_0026.tif,246210,11792,4142,262144,0.9392166137695312,0.04498291015625,0.01580047607421875
10,20180419_074325_0c43_3B_0057.tif,255770,0,6374,262144,0.9756851196289062,0.0,0.02431488037109375
11,20180724_094554_0e19_3B_0170.tif,261381,0,763,262144,0.9970893859863281,0.0,0.002910614013671875
12,20180427_020504_103c_3B_0174.tif,262144,0,0,262144,1.0,0.0,0.0
13,20180427_020503_103c_3B_0185.tif,262144,0,0,262144,1.0,0.0,0.0
14,20180427_020502_103c_3B_0156.tif,262144,0,0,262144,1.0,0.0,0.0
15,20180427_020346_103a_3B_0069.tif,257272,4641,231,262144,0.981414794921875,0.017704010009765625,0.000881195068359375
16,20180427_020504_103c_3B_0103.tif,262144,0,0,262144,1.0,0.0,0.0
17,20180606_020625_0f1b_3B_0200.tif,262144,0,0,262144,1.0,0.0,0.0
18,20180427_020503_103c_3B_0024.tif,262144,0,0,262144,1.0,0.0,0.0
19,20180419_074324_0c43_3B_0057.tif,255626,918,5600,262144,0.9751358032226562,0.00350189208984375,0.0213623046875
20,20180419_074324_0c43_3B_0098.tif,258486,2041,1617,262144,0.9860458374023438,0.007785797119140625,0.006168365478515625
21,20180427_020504_103c_3B_0115.tif,259668,0,2476,262144,0.9905548095703125,0.0,0.0094451904296875
22,20170920_015736_0f28_3B_0021.tif,262144,0,0,262144,1.0,0.0,0.0
23,20180427_020501_103c_3B_0193.tif,262144,0,0,262144,1.0,0.0,0.0
24,20171013_232848_0c46_3B_0112.tif,262144,0,0,262144,1.0,0.0,0.0
25,20180419_074324_0c43_3B_0056.tif,256348,0,5796,262144,0.9778900146484375,0.0,0.0221099853515625
26,20170920_015736_0f28_3B_0122.tif,262144,0,0,262144,1.0,0.0,0.0
27,20180427_020503_103c_3B_0026.tif,262144,0,0,262144,1.0,0.0,0.0
28,20180419_074323_0c43_3B_0102.tif,259219,0,2925,262144,0.9888420104980469,0.0,0.011157989501953125
29,20180606_020625_0f1b_3B_0127.tif,262144,0,0,262144,1.0,0.0,0.0
30,20180419_074323_0c43_3B_0068.tif,254223,2983,4938,262144,0.9697837829589844,0.011379241943359375,0.01883697509765625
31,20180310_020202_1040_3B_0020.tif,258161,0,3983,262144,0.9848060607910156,0.0,0.015193939208984375
32,20180427_020501_103c_3B_0202.tif,262144,0,0,262144,1.0,0.0,0.0
33,20180427_020501_103c_3B_0169.tif,262144,0,0,262144,1.0,0.0,0.0
34,20180419_074325_0c43_3B_0005.tif,255056,894,6194,262144,0.97296142578125,0.00341033935546875,0.02362823486328125
35,20170815_005028_0c0b_3B_0031.tif,262144,0,0,262144,1.0,0.0,0.0
36,20180606_020625_0f1b_3B_0034.tif,259088,2686,370,262144,0.98834228515625,0.01024627685546875,0.00141143798828125
37,20180310_020202_1040_3B_0089.tif,258442,2738,964,262144,0.9858779907226562,0.01044464111328125,0.0036773681640625
38,20180504_094435_0e19_3B_0076.tif,246236,10474,5434,262144,0.9393157958984375,0.03995513916015625,0.02072906494140625
39,20180427_020503_103c_3B_0039.tif,261347,0,797,262144,0.9969596862792969,0.0,0.003040313720703125
40,20180427_020502_103c_3B_0071.tif,262144,0,0,262144,1.0,0.0,0.0
41,20170815_005030_0c0b_3B_0079.tif,259871,2273,0,262144,0.9913291931152344,0.008670806884765625,0.0
42,20180419_074324_1_0c43_3B_0020.tif,251353,4934,5857,262144,0.9588356018066406,0.01882171630859375,0.022342681884765625
43,20180419_074324_1_0c43_3B_0083.tif,260327,0,1817,262144,0.9930686950683594,0.0,0.006931304931640625
44,20180419_074323_0c43_3B_0065.tif,256335,38,5771,262144,0.9778404235839844,0.00014495849609375,0.022014617919921875
45,20180427_020504_103c_3B_0081.tif,257121,0,5023,262144,0.9808387756347656,0.0,0.019161224365234375
46,20170920_015736_0f28_3B_0165.tif,262144,0,0,262144,1.0,0.0,0.0
47,20180310_020202_1040_3B_0044.tif,262144,0,0,262144,1.0,0.0,0.0
48,20170815_005028_0c0b_3B_0060.tif,262144,0,0,262144,1.0,0.0,0.0
49,20180427_020347_103a_3B_0166.tif,260641,0,1503,262144,0.9942665100097656,0.0,0.005733489990234375
50,20180427_020504_103c_3B_0210.tif,262144,0,0,262144,1.0,0.0,0.0
51,20170815_005028_0c0b_3B_0040.tif,262144,0,0,262144,1.0,0.0,0.0
52,20180427_020346_103a_3B_0050.tif,260871,0,1273,262144,0.9951438903808594,0.0,0.004856109619140625
53,20180427_020502_103c_3B_0184.tif,262144,0,0,262144,1.0,0.0,0.0
54,20180606_020625_0f1b_3B_0083.tif,262144,0,0,262144,1.0,0.0,0.0
55,20180606_020625_0f1b_3B_0023.tif,260587,922,635,262144,0.9940605163574219,0.00351715087890625,0.002422332763671875
56,20180504_094435_0e19_3B_0185.tif,251419,2088,8637,262144,0.9590873718261719,0.007965087890625,0.032947540283203125
57,20180724_094554_0e19_3B_0069.tif,253603,620,7921,262144,0.9674186706542969,0.0023651123046875,0.030216217041015625
58,20180427_020504_103c_3B_0019.tif,262144,0,0,262144,1.0,0.0,0.0
59,20180427_020504_103c_3B_0012.tif,260075,0,2069,262144,0.9921073913574219,0.0,0.007892608642578125
60,20180310_020202_1040_3B_0102.tif,262144,0,0,262144,1.0,0.0,0.0
61,20170815_005028_0c0b_3B_0003.tif,262144,0,0,262144,1.0,0.0,0.0
62,20180427_020504_103c_3B_0003.tif,262144,0,0,262144,1.0,0.0,0.0
63,20180427_020346_103a_3B_0088.tif,260997,0,1147,262144,0.9956245422363281,0.0,0.004375457763671875
64,20180310_020202_1040_3B_0051.tif,262144,0,0,262144,1.0,0.0,0.0
65,20180419_074324_1_0c43_3B_0101.tif,259924,0,2220,262144,0.9915313720703125,0.0,0.0084686279296875
66,20180419_074323_0c43_3B_0003.tif,257276,0,4868,262144,0.9814300537109375,0.0,0.0185699462890625
67,20170815_005030_0c0b_3B_0089.tif,258394,2838,912,262144,0.9856948852539062,0.01082611083984375,0.00347900390625
68,20180427_020502_103c_3B_0112.tif,260611,0,1533,262144,0.9941520690917969,0.0,0.005847930908203125
69,20180310_020202_1040_3B_0182.tif,257390,0,4754,262144,0.9818649291992188,0.0,0.01813507080078125
70,20180419_074323_0c43_3B_0006.tif,257212,672,4260,262144,0.9811859130859375,0.0025634765625,0.0162506103515625
71,20171013_232848_0c46_3B_0009.tif,261456,0,688,262144,0.99737548828125,0.0,0.00262451171875
72,20180427_020504_103c_3B_0168.tif,262144,0,0,262144,1.0,0.0,0.0
73,20180427_020503_103c_3B_0189.tif,262144,0,0,262144,1.0,0.0,0.0
74,20180427_020347_103a_3B_0144.tif,258109,0,4035,262144,0.9846076965332031,0.0,0.015392303466796875
75,20180427_020504_103c_3B_0076.tif,260124,1637,383,262144,0.9922943115234375,0.006244659423828125,0.001461029052734375
76,20170815_005028_0c0b_3B_0131.tif,262144,0,0,262144,1.0,0.0,0.0
77,20170920_015736_0f28_3B_0138.tif,262144,0,0,262144,1.0,0.0,0.0
78,20180427_020503_103c_3B_0084.tif,262144,0,0,262144,1.0,0.0,0.0
79,20180427_020502_103c_3B_0142.tif,262144,0,0,262144,1.0,0.0,0.0
80,20180427_020501_103c_3B_0066.tif,260802,0,1342,262144,0.9948806762695312,0.0,0.00511932373046875
81,20180427_020347_103a_3B_0202.tif,258292,1537,2315,262144,0.9853057861328125,0.005863189697265625,0.008831024169921875
82,20180427_020501_103c_3B_0168.tif,262144,0,0,262144,1.0,0.0,0.0
83,20180419_074324_1_0c43_3B_0053.tif,252028,3266,6850,262144,0.9614105224609375,0.01245880126953125,0.02613067626953125
84,20180427_020346_103a_3B_0006.tif,262039,0,105,262144,0.9995994567871094,0.0,0.000400543212890625
85,20171013_232848_0c46_3B_0059.tif,262144,0,0,262144,1.0,0.0,0.0
86,20180427_020347_103a_3B_0134.tif,259269,0,2875,262144,0.9890327453613281,0.0,0.010967254638671875
87,20180419_074324_0c43_3B_0001.tif,244329,9850,7965,262144,0.9320411682128906,0.03757476806640625,0.030384063720703125
88,20180606_020625_0f1b_3B_0133.tif,262144,0,0,262144,1.0,0.0,0.0
89,20180427_020504_103c_3B_0188.tif,262144,0,0,262144,1.0,0.0,0.0
90,20180504_094435_0e19_3B_0107.tif,251594,0,10550,262144,0.9597549438476562,0.0,0.04024505615234375
91,20180310_020202_1040_3B_0035.tif,261958,0,186,262144,0.9992904663085938,0.0,0.00070953369140625
92,20180310_020202_1040_3B_0176.tif,261730,0,414,262144,0.9984207153320312,0.0,0.00157928466796875
93,20180427_020347_103a_3B_0203.tif,261237,0,907,262144,0.9965400695800781,0.0,0.003459930419921875
94,20180724_094554_0e19_3B_0026.tif,253347,0,8797,262144,0.9664421081542969,0.0,0.033557891845703125
95,20180427_020503_103c_3B_0212.tif,262144,0,0,262144,1.0,0.0,0.0
96,20180427_020347_103a_3B_0188.tif,259252,0,2892,262144,0.9889678955078125,0.0,0.0110321044921875
97,20180419_074323_0c43_3B_0033.tif,244309,15469,2366,262144,0.9319648742675781,0.059009552001953125,0.00902557373046875
98,20180427_020501_103c_3B_0080.tif,262144,0,0,262144,1.0,0.0,0.0
99,20180606_020625_0f1b_3B_0199.tif,260733,0,1411,262144,0.9946174621582031,0.0,0.005382537841796875
100,20180419_074324_0c43_3B_0017.tif,245321,7482,9341,262144,0.9358253479003906,0.02854156494140625,0.035633087158203125
101,20180724_094554_0e19_3B_0128.tif,242003,9436,10705,262144,0.9231681823730469,0.0359954833984375,0.040836334228515625
102,20170920_015736_0f28_3B_0140.tif,262144,0,0,262144,1.0,0.0,0.0
103,20180606_020625_0f1b_3B_0080.tif,262144,0,0,262144,1.0,0.0,0.0
104,20170815_005028_0c0b_3B_0106.tif,261401,0,743,262144,0.9971656799316406,0.0,0.002834320068359375
105,20180419_074325_0c43_3B_0103.tif,258124,487,3533,262144,0.9846649169921875,0.001857757568359375,0.013477325439453125
106,20180310_020202_1040_3B_0078.tif,262144,0,0,262144,1.0,0.0,0.0
107,20180606_020625_0f1b_3B_0066.tif,262144,0,0,262144,1.0,0.0,0.0
108,20180504_094435_0e19_3B_0030.tif,252593,1950,7601,262144,0.9635658264160156,0.00743865966796875,0.028995513916015625
109,20180419_074325_0c43_3B_0017.tif,258634,0,3510,262144,0.9866104125976562,0.0,0.01338958740234375
110,20180504_094435_0e19_3B_0068.tif,261800,315,29,262144,0.998687744140625,0.001201629638671875,0.000110626220703125
111,20180427_020503_103c_3B_0128.tif,262144,0,0,262144,1.0,0.0,0.0
112,20180606_020625_0f1b_3B_0157.tif,262144,0,0,262144,1.0,0.0,0.0
113,20180427_020503_103c_3B_0020.tif,262144,0,0,262144,1.0,0.0,0.0
114,20180427_020346_103a_3B_0047.tif,262144,0,0,262144,1.0,0.0,0.0
